permit_number,case_type,case_name,sub_type,work,status,proposed_land_use,desc_of_proposed_development,final_date,status_date,application_start_date,approval_date,calendar_year_folder_created,zip_code,existing_no_of_lots,proposed_no_of_lots
1992-000148 C8,Subdivision,SUNSET ADDITION,Subdivision Construction Plan,Rough Cut with Full Development App,Approved and Released,"999, 999",SUNSET ADDITION,03/23/1998,01/09/2009 08:57:25 AM,02/27/1998,NA,1998,78749,NA,94
1995-000124 C8,Subdivision,"ROB ROY ESTATES, RESUB OF LOT 2 PH 3",Final Plat,Without Preliminary,Withdrawn,999,"ROB ROY ESTATES, RESUB OF LOT 2 PH 3",NA,03/02/2007 06:10:13 AM,06/14/1995,NA,1995,NA,NA,NA
2000-002083 C8,Subdivision,GASTON-SHELDON SUBDIVISION SECTION THREE (RESUBMITTAL OF C8-00-2083.3A),Final Plat,With Preliminary,Approved,"SF, ROW, PUB, PUB, PUB",GASTON-SHELDON SUBDIVISION SECTION THREE (RESUBMITTAL OF C8-00-2083.3A),03/20/2002,03/02/2007 06:10:13 AM,02/11/2002,NA,2002,NA,NA,237
1984-000102 C8,Subdivision,"LANTANA LOT 1, BLOCK U",Final Plat,With Preliminary,Approved,"OFC, RET","LANTANA LOT 1, BLOCK U",12/27/2005,03/02/2007 06:10:13 AM,10/24/2005,NA,2005,NA,NA,NA
1994-000045 C8,Subdivision,SARAH'S CREEK SECTION TWO,NA,NA,Approved,"999, 999, 999",SARAH'S CREEK SECTION TWO,NA,03/02/2007 06:10:13 AM,05/22/1998,NA,1998,NA,NA,NA
1999-000023 C8,Subdivision,"SUMMIT ON ECK LANE, LOT 6",Final Plat,With Preliminary,Approved,999,"SUMMIT ON ECK LANE, LOT 6",12/20/1999,03/02/2007 06:10:13 AM,08/03/1999,NA,1999,NA,NA,NA
1999-000135 C8,Subdivision,SPRINT ION POP,Final Plat,Without Preliminary,Approved,999,SPRINT ION POP,10/25/1999,03/02/2007 06:10:13 AM,07/13/1999,NA,1999,NA,NA,NA
1997-000261 C8,Subdivision,THE EARLEY ADDITION (HANCOCK ADDITION A PORTION OF LOT 3 RESUBDIVISION),NA,NA,Approved,999,THE EARLEY ADDITION (HANCOCK ADDITION A PORTION OF LOT 3 RESUBDIVISION),NA,10/28/2010 05:08:12 PM,12/18/1997,NA,1997,78756,NA,NA
2015-075306 C8,Subdivision,Ecks Heights Subdivision Plot 1 Block C Amended Plat; Resubdivision,Final Plat,Amended Plat,Expired,Single Family,NA,NA,06/25/2016 03:45:17 AM,06/23/2015,NA,2015,78703,1,2
1999-002105 C8,Subdivision,BELL SUBDIVISION (3RD SUBMITTAL),Final Plat,Previously Unplatted,Expired,IND,BELL SUBDIVISION (3RD SUBMITTAL),03/21/2000,03/17/2009 10:47:12 AM,11/16/1999,NA,1999,78728,NA,NA
1983-000081 C8,Subdivision,LONG CANYON III-A,NA,NA,Withdrawn,"999, 999",LONG CANYON III-A,11/07/1995,03/02/2007 06:10:13 AM,02/22/1994,NA,1994,NA,NA,NA
2002-000026 C8,Subdivision,SUTTER HALL SUBDIVISION (RESUBMITTAL OF C8-01-0160.0A),Final Plat,Previously Unplatted,Expired,SF,SUTTER HALL SUBDIVISION (RESUBMITTAL OF C8-01-0160.0A),07/09/2002,02/17/2009 10:44:31 AM,02/12/2002,NA,2002,78735,NA,NA
2018-194511 C8,Subdivision,"Highland Park West Resubdivision of  Portions of Lots 3, 4 adn 5; Blk O",Final Plat,Resubdivision,Expired,Single Family,NA,NA,12/25/2018 09:00:43 PM,11/09/2018,NA,2018,78731,1,2
2004-000063 C,Subdivision Joint City/County,WHITE HOUSE,Preliminary Plan,Preliminary,Expired,"RET, ROW",WHITE HOUSE,04/11/2005,03/02/2007 06:10:13 AM,05/04/2004,NA,2004,78652,NA,NA
2005-Z248565 C8,Subdivision,"STONEY RIDGE 5B, AMENDED PLAT OF LOTS 22-30",Final Plat,Without Preliminary,Closed,SF,"STONEY RIDGE 5B, AMENDED PLAT OF LOTS 22-30",NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,NA
1984-000146 C8,Subdivision,COLLINWOOD WEST II-B,NA,NA,Approved,999,COLLINWOOD WEST II-B,10/31/1997,03/02/2007 06:10:13 AM,08/29/1997,NA,1997,NA,NA,NA
2014-127738 C8,Subdivision,Loma Verde,Preliminary Plan,Preliminary,Expired,"SF, DUP, PUB",NA,NA,12/14/2015 03:45:29 AM,12/02/2014,NA,2014,78744,2,596
2002-000151 C8,Subdivision,"TRAVIS HEIGHTS, AMENDED PLAT OF LOTS 23 & 24, BLOCK 21",Final Plat,Amended Plat,Awaiting Recordation,SF,"TRAVIS HEIGHTS, BLOCK 21, AMENDED PLAT OF LOTS 23 & 24",04/25/2003,10/20/2009 01:37:47 PM,08/19/2002,NA,2002,78704,NA,NA
2008-031933 C8,Subdivision,Walden Park Subdivision,Final Plat,With Preliminary,Approved,Commercial,NA,09/30/2008,10/27/2008 11:32:00 AM,04/29/2008,09/03/2008,2008,78717,8,8
1999-000098 C8,Subdivision,TOM KEMP SUBDIVISION (PARMER/LAKELINE SUBD),Final Plat,With Preliminary,Withdrawn,RET,TOM KEMP SUBDIVISION (PARMER/LAKELINE SUBD),05/17/2002,03/02/2007 06:10:13 AM,12/26/2001,NA,2001,NA,NA,2
2016-060989 C,Subdivision Joint City/County,L&I Number 2 Re-Subdivision,Final Plat,Resubdivision,Expired,Single Family,NA,NA,07/10/2016 09:00:27 PM,05/25/2016,NA,2016,NA,NA,6
2010-031297 C8,Subdivision,Savoy Subdivision,Subdivision Construction Plan,Concurrent,Subdivision Recorded,Single Family,NA,NA,08/05/2011 10:53:45 AM,04/14/2010,08/05/2011,2010,78759,NA,27
2014-036162 C8,Subdivision,"Avana Phase 1, Section 4",Final Plat,With Preliminary,Subdivision Recorded,"Single Family; Amenity; DRAIN/WQ/PUE, Landscape/PUE, ROW",NA,11/03/2014,11/03/2014 09:36:46 AM,04/10/2014,11/03/2014,2014,NA,1,62.03
1984-000010 C8,Subdivision,"TEXAS OAKS SEC 9, AMENDED PLAT OF LOTS 12-31, BLOCK J",NA,NA,Approved,999,"TEXAS OAKS SEC 9, AMENDED PLAT OF LOTS 12-31, BLOCK J",NA,03/02/2007 06:10:13 AM,06/13/1986,NA,1986,NA,NA,NA
2005-000180 C8,Subdivision,"SUMMIT OAKS, RESUBDIVISION OF LOT 1A, BLOCK A OF THE AMENDED PLAT OF LOTS 1 & 2,",Final Plat,Resubdivision,Approved,"SF, DUP","SUMMIT OAKS, RESUBDIVISION OF LOT 1A, BLOCK A OF THE AMENDED PLAT OF LOTS 1 & 2, BLOCK A",04/06/2006,02/03/2009 09:54:20 AM,09/06/2005,NA,2005,NA,NA,NA
1986-000077 C8,Subdivision,"POINT VENTURE II, SECTION I",NA,NA,Approved,"999, 999","POINT VENTURE II, SECTION I",08/25/1987,03/02/2007 06:10:13 AM,05/01/1987,NA,1987,NA,NA,NA
1985-000067 C8,Subdivision,LAKELINE-LAKELINE MALL SUBDIVISION,NA,NA,Approved,"999, 999",LAKELINE-LAKELINE MALL SUBDIVISION,10/02/1989,03/02/2007 06:10:13 AM,09/29/1987,NA,1987,NA,NA,NA
1997-000227 C8,Subdivision,CANYON RIM (WITHDRAWAL AND RESUBMITTAL OF C8-96-0229),NA,NA,Withdrawn,"999, 999, 999",CANYON RIM (WITHDRAWAL AND RESUBMITTAL OF C8-96-0229),NA,03/02/2007 06:10:13 AM,10/24/1997,NA,1997,NA,NA,NA
2005-000007 C8,Subdivision,COLORADO CROSSING II SEC 3 (SMART HOUSING),Subdivision Construction Plan,Street/Drainage,Closed,999,COLORADO CROSSING II - SEC 3 (SMART HOUSING),09/15/2006,03/24/2009 10:05:21 AM,03/23/2006,NA,2006,NA,NA,10
2004-000140 C8,Subdivision,"WINDMILL CENTER NORTH II, RESUBDIVISION OF THE REMAINDER OF LOT 2",Final Plat,Without Preliminary,Approved,RET,"WINDMILL CENTER NORTH II, RESUBDIVISION OF THE REMAINDER OF LOT 2",01/07/2005,03/02/2007 06:10:13 AM,10/05/2004,NA,2004,78613,NA,NA
2013-049068 C,Subdivision Joint City/County,McCormick Ranch on Lake Austin,Preliminary Plan,Preliminary,Approved and Released,NA,NA,02/25/2014,02/25/2014 10:28:59 AM,05/13/2013,NA,2013,NA,0,148
2014-055785 C8,Subdivision,Park Place at Riverside,Subdivision Construction Plan,Concurrent,Subdivision Recorded,Commercial Multi Family,NA,NA,04/20/2015 01:20:01 PM,05/29/2014,04/20/2015,2014,78741,NA,119
1986-000057 C8,Subdivision,GILL RANCH,NA,NA,Closed,999,GILL RANCH,08/07/1986,03/02/2007 06:10:13 AM,03/17/1986,NA,1986,NA,NA,NA
2005-000145 C8,Subdivision,EL MILAGRO,Final Plat,Without Preliminary,Expired,SF,EL MILAGRO,NA,03/02/2007 06:10:13 AM,08/04/2005,NA,2005,NA,NA,1
2013-112194 C8,Subdivision,"AHC Addition, Resubdivison of Lots 1 & 2, Travis Addition No. 2 and Lot 1",Subdivision Construction Plan,Non-Concurrent,Subdivision Recorded,mixed,NA,NA,07/14/2014 11:28:06 AM,10/25/2013,07/14/2014,2013,78741,NA,4
2015-001383 C8,Subdivision,"Tech Ridge Center Phase VI, lot 1",Final Plat,With Preliminary,Subdivision Recorded,Commercial,NA,10/19/2015,10/19/2015 12:52:07 PM,01/07/2015,10/19/2015,2015,NA,1,1
1996-000011 C8,Subdivision,VALEX ESTATES (WITHDRAWAL AND RESUBMITTAL OF C8-94-0084.0A),Final Plat,Previously Unplatted,Approved,999,VALEX ESTATES (WITHDRAWAL AND RESUBMITTAL OF C8-94-0084.0A),NA,04/21/2009 10:18:41 AM,01/18/1996,NA,1996,78653,NA,7
2000-002285 C8,Subdivision,"PECAN PARK III, RESUBDIVISION OF LOT 3, BLOCK A & A PORTION OF LOT 2, RESUB OF L",Final Plat,Resubdivision,Approved,RET,"PECAN PARK III, RESUBDIVISION OF LOT 3, BLOCK A & A PORTION OF LOT 2, RESUB OF LOTS 7 - 9 PECAN PARK",03/13/2001,02/24/2009 08:40:30 AM,12/19/2000,NA,2000,78750,NA,NA
2001-000049 C8,Subdivision,WOODS OF CENTURY PARK SECTION TWO,Subdivision Construction Plan,NA,Approved and Released,"SF, ROW",WOODS OF CENTURY PARK SECTION TWO,03/25/2002,03/02/2007 06:10:13 AM,10/09/2001,NA,2001,NA,NA,NA
2006-000004 C8,Subdivision,ENCHANTED FOREST,Preliminary Plan,Preliminary,Withdrawn,"SF, ROW, PUB",ENCHANTED FOREST,NA,03/02/2007 06:10:13 AM,01/11/2006,NA,2006,NA,NA,58
2000-002051 C8,Subdivision,"VICTORIAN OAKS RESUBDIVISION OF LOTS 1,2,& 3 OF THE ROY A. RAGLAND SUBDIVISION A",Final Plat,Resubdivision,Approved,SF,"VICTORIAN OAKS RESUBDIVISION OF LOTS 1,2,& 3 OF THE ROY A. RAGLAND SUBDIVISION AND A PORTION OF LOT 4 BLOCK 5 FREEWATER ADDITION",05/08/2000,03/16/2009 08:27:24 AM,03/07/2000,NA,2000,78704,NA,10
1993-000154 C8,Subdivision,HILL COUNTRY ESTATES,NA,NA,Approved,999,HILL COUNTRY ESTATES,03/24/1994,03/02/2007 06:10:13 AM,09/10/1993,NA,1993,NA,NA,NA
2017-095797 C,Subdivision Joint City/County,Breakwater  (W/R OF C8J-2015-0110.1A),Final Plat,With Preliminary,Subdivision Recorded,Single Family,NA,03/07/2019,03/07/2019 10:55:56 AM,08/03/2017,03/07/2019,2017,78737,24,24
2004-000179 C8,Subdivision,BEN WHITE PAYLOAD SUBDIVISION (RESUBMITTAL OF C8-04-0079.0A),Final Plat,Previously Unplatted,Approved,"OFC, ROW, RET",BEN WHITE PAYLOAD SUBDIVISION (RESUBMITTAL OF C8-04-0079.0A),04/20/2005,02/11/2009 03:02:28 PM,11/30/2004,NA,2004,NA,NA,NA
1992-000110 C8,Subdivision,"FAIRWAY OAKS, RESUBDIVISION OF LOTS 1-11",Final Plat,Resubdivision,Approved,"999, 999",RESUBDIVISION OF LOTS 1-11 FAIRWAY OAKS,08/26/1992,12/18/2008 02:55:14 PM,06/16/1992,NA,1992,78746,NA,11
1986-000077 C8,Subdivision,"WATERFORD ON LAKE TRAVIS, SECTIONS FIVE AND SIX",Preliminary Plan,Revised Preliminary,Withdrawn,"SF, ROW, GRBL","WATERFORD ON LAKE TRAVIS, SECTIONS FIVE AND SIX",10/04/2000,03/02/2007 06:10:13 AM,09/12/2000,NA,2000,NA,NA,NA
2005-000055 C8,Subdivision,BOLDEN'S PLACE,Final Plat,Without Preliminary,Approved,SF,BOLDEN'S PLACE,06/08/2005,03/02/2007 06:10:13 AM,03/14/2005,NA,2005,78721,NA,NA
2020-031251 C8,Subdivision,Winstead Subdivision Project Assessment,Final Plat,Resubdivision,Expired,Single Family,NA,NA,04/10/2020 09:01:57 PM,02/24/2020,NA,2020,78703,1,2
2002-000042 C8,Subdivision,"NORTHWEST HILLS RANCH, SEC 1, RESUBDIVISION OF LOT F-7",Final Plat,Resubdivision,Approved,SF,"NORTHWEST HILLS RANCH, SECTION ONE, RESUBDIVISION OF LOT F-7",01/06/2003,02/06/2009 10:50:16 AM,03/05/2002,NA,2002,78759,NA,3
2007-167862 C8,Subdivision,"Crest Haven Addition, Resubdivision of Lot 11, Block 1",Final Plat,Resubdivision,Approved,Single Family,NA,06/18/2008,07/10/2008 03:16:44 PM,11/27/2007,05/13/2008,2007,78723,1,4
2014-083245 C,Subdivision Joint City/County,Presidio East,Final Plat,With Preliminary,Subdivision Recorded,PUD,NA,07/29/2015,07/29/2015 03:54:09 PM,08/07/2014,07/29/2015,2014,NA,5,2
2013-005383 C8,Subdivision,Mueller Section IIC-2 Final Plat,Final Plat,With Preliminary,Expired,PUD,NA,NA,07/21/2013 03:46:02 AM,01/18/2013,NA,2013,78723,2,1
2019-169916 C8,Subdivision,"Banister Heights, Resubdivision of Lot 25-27",Final Plat,Resubdivision,Expired,Multi-family,NA,NA,10/04/2019 09:00:57 PM,08/16/2019,NA,2019,78704,0,1
1984-000109 C8,Subdivision,MILWOOD SECTION 42,NA,NA,Closed,999,MILWOOD SECTION 42,09/17/1986,03/02/2007 06:10:13 AM,07/29/1986,NA,1986,NA,NA,NA
1985-000134 C8,Subdivision,STEINER RANCH PH 1 IRRIGATION TRACT (PLAT VACATION),Subdivision Vacation,With Replat,Closed,NA,STEINER RANCH PHASE ONE IRRIGATION TRACT,12/18/2002,08/21/2009 02:34:57 PM,12/09/2002,NA,2002,NA,NA,NA
2014-042516 C8,Subdivision,"Amended Plat of Lots 4-6, Barton Springs Heights",Final Plat,Amended Plat,Subdivision Recorded,Single Family,NA,08/14/2014,08/14/2014 10:05:14 AM,04/25/2014,08/14/2014,2014,78704,3,3
2000-002195 C8,Subdivision,AUSTIN'S COLONY PHASE 3,Subdivision Construction Plan,NA,Approved and Released,"SF, ROW, GRBL",AUSTIN'S COLONY PHASE 3,05/17/2001,03/02/2007 06:10:13 AM,12/13/2000,NA,2000,NA,NA,NA
2016-004348 C8,Subdivision,Hunt Subdivision (W/R of C8-2014-0217.0A Hunt Subdivision),Final Plat,Previously Unplatted,Subdivision Recorded,Commercial,NA,01/11/2017,01/11/2017 08:52:09 AM,01/14/2016,01/11/2017,2016,78753,1,1
2003-000112 C8,Subdivision,"PARMER PARK, RESUBDIVISION OF LOT 1, BLOCK A (RESUBMITTAL C8-02-0224.0A)",Final Plat,Without Preliminary,Approved,RET,"PARMER PARK, RESUBDIVISION OF LOT 1, BLOCK A (RESUBMITTAL C8-02-0224.0A)",08/22/2003,03/02/2007 06:10:13 AM,07/22/2003,NA,2003,78754,NA,14
2007-124615 C,Subdivision Joint City/County,"Reserve at Westhill Estates, Resubdivision of Lot B2, Northwest Hills Ranch",Final Plat,Resubdivision,Approved,NA,NA,06/09/2008,06/12/2008 11:15:02 AM,05/25/2007,05/06/2008,2007,78759,1,5
1992-000207 C8,Subdivision,"ENCLAVE AT SIERRA  VISTA, THE",NA,NA,Approved,"999, 999, 999","ENCLAVE AT SIERRA  VISTA, THE",11/24/1992,03/02/2007 06:10:13 AM,09/01/1992,NA,1992,NA,NA,NA
2006-000044 C,Subdivision Joint City/County,LOOP 4 COMMERCIAL PARK NORTH,Final Plat,With Preliminary,Expired,OFC,LOOP 4 COMMERCIAL PARK NORTH,12/22/2006,10/24/2007 03:04:00 PM,09/05/2006,NA,2006,NA,NA,17
2001-000090 C8,Subdivision,PANTHER HOLLOW PHASE 1,Final Plat,With Preliminary,Withdrawn,"SF, ROW, GRBL",PANTHER HOLLOW PHASE 1,05/08/2001,03/02/2007 06:10:13 AM,04/17/2001,NA,2001,NA,NA,NA
2021-031304 C8,Subdivision,Mueller Section 7F Subdivision,Final Plat,Resubdivision,Expired,PUD,NA,NA,04/19/2021 09:01:21 PM,03/04/2021,NA,2021,78723,2,2
1994-000278 C8,Subdivision,BAR-K PARK II (AKA OAK PARKE ESTATES),NA,NA,Approved,"999, 999, 999",BAR-K PARK II (AKA OAK PARKE ESTATES),NA,03/02/2007 06:10:13 AM,12/13/1994,NA,1994,NA,NA,NA
1984-000205 C8,Subdivision,"RIVER HILLS ESTATES, SECTION 1",NA,NA,Closed,999,"RIVER HILLS ESTATES, SECTION 1",09/23/1987,03/02/2007 06:10:13 AM,08/25/1987,NA,1987,NA,NA,NA
1994-000004 C8,Subdivision,"SOUTHLAND OAKS SUBD., SEC. FOUR, PHASE B",NA,NA,Approved,"999, 999","SOUTHLAND OAKS SUBD., SEC. FOUR, PHASE B",07/01/1996,03/02/2007 06:10:13 AM,09/01/1995,NA,1995,NA,NA,NA
2009-003219 C,Subdivision Joint City/County,Elm Creek Centre,Preliminary Plan,Preliminary,Withdrawn,Commercial,NA,NA,01/20/2010 10:03:16 AM,01/16/2009,NA,2009,78724,1,10
2017-105860 C8,Subdivision,Enclave of Oak Parke Preliminary Plan,Preliminary Plan,Preliminary,Expired,Single Family,NA,NA,10/09/2017 09:00:23 PM,08/24/2017,NA,2017,78749,1,15
1985-000098 C8,Subdivision,JOURDANS CROSSING,NA,NA,Closed,"999, 999, 999",JOURDANS CROSSING,02/16/1996,03/02/2007 06:10:13 AM,01/08/1996,NA,1996,NA,NA,NA
1984-000073 C8,Subdivision,COPPERFIELD 3-F (WITHDRAWAL & RESUBMITTAL OF C8-84-073.03.1A),NA,NA,Expired,"999, 999",COPPERFIELD 3-F (WITHDRAWAL & RESUBMITTAL OF C8-84-073.03.1A),05/07/1997,03/02/2007 06:10:13 AM,04/15/1997,NA,1997,NA,NA,NA
2016-092086 C8,Subdivision,Airport Gateway,Final Plat,Amended Plat,Expired,Commercial,NA,NA,09/17/2016 09:00:54 PM,08/02/2016,NA,2016,78744,4,4
1983-000068 C8,Subdivision,"OVERLOOK AT RIVERPLACE (ALSO KNOWN AS RIVERPLACE, BLOCK Q, LOTS 149-172)",NA,NA,Closed,"999, 999","OVERLOOK AT RIVERPLACE (ALSO KNOWN AS RIVERPLACE, BLOCK Q, LOTS 149-172)",08/23/1994,03/02/2007 06:10:13 AM,05/04/1994,NA,1994,NA,NA,NA
2008-069782 C8,Subdivision,RANCHO ALTO-REVISED,Preliminary Plan,Revised Preliminary,Approved,Office,NA,01/16/2009,03/09/2009 01:51:30 PM,09/04/2008,01/16/2009,2008,NA,1,2
1984-000197 C8,Subdivision,SENDERA SOUTH (REVISED PRELIMINARY PLAN),NA,NA,Approved,"999, 999, 999",SENDERA SOUTH (REVISED PRELIMINARY PLAN),01/27/1999,03/02/2007 06:10:13 AM,12/17/1998,NA,1998,NA,NA,NA
1973-000002 C8,Subdivision,CHIMNEY HILLS P.U.D. III - PHASE A,Final Plat,With Preliminary,Closed,999,CHIMNEY HILLS P.U.D. III - PHASE A,NA,03/02/2007 06:10:13 AM,10/27/1986,NA,1986,NA,NA,NA
1995-000027 C8,Subdivision,SLAUGHTER/SOUTH FIRST SECTION 4,NA,NA,Approved and Released,"999, 999",SLAUGHTER/SOUTH FIRST SECTION 4,05/24/1999,03/02/2007 06:10:13 AM,12/29/1998,NA,1998,NA,NA,NA
2017-055442 C8,Subdivision,7  Sam Huston Heights; Resub of Lot 7D of the Resub of lot,Final Plat,Resubdivision,Subdivision Recorded,DUPLEX,NA,11/15/2018,11/15/2018 11:29:11 AM,05/09/2017,11/15/2018,2017,78721,1,2
2017-150385 C8,Subdivision,"Momentum Way & Spirit Drive, Velocity Crossing Ph 1",Subdivision Construction Plan,Non-Concurrent,Subdivision Recorded,Commercial,NA,NA,02/27/2019 12:59:45 PM,12/01/2017,02/27/2019,2017,78617,NA,2
2013-102889 C8,Subdivision,"Tech Ridge Phase III Resubdivision of lot 7, 8 and 9Tech Ridge Phase III Resubdi",Final Plat,Resubdivision,Subdivision Recorded,Multi-family,NA,07/31/2014,07/31/2014 03:24:53 PM,10/01/2013,07/31/2014,2013,78753,3,3
1998-000216 C8,Subdivision,"GLENVIEW ADDITION, AMENDED PLAT OF LOTS 1-3 & A PORTION OF LOT 4",Final Plat,Amended Plat,Approved,999,"GLENVIEW ADDITION, AMENDED PLAT OF LOTS 1-3 & A PORTION OF LOT 4",09/17/1999,02/02/2009 01:40:51 PM,12/29/1998,NA,1998,NA,NA,1
2019-221009 C8,Subdivision,4706 Prock Lane Project Assessment,Final Plat,Resubdivision,Review Completed,Single Family,NA,03/27/2020,04/03/2020 07:04:48 AM,11/12/2019,NA,2019,78721,1,2
2012-114406 C8,Subdivision,Fiskville Subdivision,Final Plat,Resubdivision,Withdrawn,NA,NA,11/04/2013,11/04/2013 09:48:54 AM,11/13/2012,NA,2012,78753,3,3
1995-000083 C8,Subdivision,AIRPORT PAD SITE,NA,NA,Expired,999,AIRPORT PAD SITE,NA,03/02/2007 06:10:13 AM,04/21/1995,NA,1995,78702,NA,NA
2016-137532 C8,Subdivision,Cameron Industrial Park Resubdivison,Final Plat,Resubdivision,Subdivision Recorded,"Commercial Multi Family, Commercial-Retail",NA,01/09/2018,01/09/2018 12:15:35 PM,11/07/2016,01/09/2018,2016,78754,1,2
2006-000259 C,Subdivision Joint City/County,WATERSEDGE PHASE 1 (SMART HOUSING),Preliminary Plan,Preliminary,Approved,"RET, 999, ROW, MF, 999, SF, 999, 999",WATERSEDGE PHASE 1 (SMART HOUSING),10/19/2007,04/04/2008 11:55:47 AM,12/01/2006,06/05/2007,2006,NA,NA,244
1997-000036 C8,Subdivision,FLETCHER PLACE ONE,Final Plat,Previously Unplatted,Approved,999,FLETCHER PLACE ONE,NA,04/17/2009 03:11:52 PM,03/04/1997,NA,1997,78704,NA,1
1978-000084 C8,Subdivision,COVERED BRIDGE SUBDIVISION SECTION 2,NA,NA,Approved,"999, 999",COVERED BRIDGE SUBDIVISION SECTION 2,07/16/1998,03/02/2007 06:10:13 AM,08/28/1997,NA,1997,NA,NA,82
2005-000008 C8,Subdivision,CASITAS AT AVERY RANCH; SECOND AMENDED PLAT OF,Final Plat,Amended Plat,Approved,"SF, GRBL, ROW",CASITAS AT AVERY RANCH; SECOND AMENDED PLAT OF,02/22/2005,01/28/2009 11:27:49 AM,01/13/2005,NA,2005,NA,NA,NA
1994-000006 C8,Subdivision,"CANYON CREEK SEC 17 AMENDED PLAT LOTS 1-16, 19 BLOCK L; LOTS 1, 2, 5 BLK K; LOTS",Final Plat,Amended Plat,Approved,"999, 999","CANYON CREEK SEC 17 AMENDED PLAT LOTS 1-16, 19 BLOCK L; LOTS 1, 2, 5 BLK K; LOTS 5-9 BLK M; LOTS 5-6 BLK P; LOTS 4, 9-10, 18 BLK N",NA,01/28/2009 11:18:25 AM,01/12/1994,NA,1994,NA,NA,31
2007-152248 C8,Subdivision,TOWER OF THE HILLS,Subdivision Vacation,With Replat,Expired,Office,NA,NA,03/18/2008 08:01:01 PM,09/19/2007,NA,2007,NA,1,1
1990-000073 C8,Subdivision,LAKEWOOD SECTION 5-A,NA,NA,Approved,999,LAKEWOOD SECTION 5-A,02/25/1991,03/02/2007 06:10:13 AM,07/18/1990,NA,1990,NA,NA,NA
1985-000029 C8,Subdivision,DAVIS SPRING COMMERCIAL SEC 2,Final Plat,With Preliminary,Approved,IND,DAVIS SPRING COMMERCIAL SEC 2,NA,11/20/2007 02:44:21 PM,01/09/2007,NA,2007,NA,-999,1
2019-079919 C8,Subdivision,"Hyde Park Addition Resubdivision of Parts of Lot 19, 20, 21, 22, Block B (W/R C8-2018-0076.0A)",Final Plat,Resubdivision,Subdivision Recorded,residential,NA,10/31/2019,10/31/2019 08:25:25 AM,05/22/2019,10/31/2019,2019,78751,2,1
2001-000125 C8,Subdivision,HERITAGE VILLAGE (SMART HOUSING),Subdivision Construction Plan,NA,Approved and Released,SF,HERITAGE VILLAGE (SMART HOUSING),08/27/2002,03/02/2007 06:10:13 AM,12/11/2001,NA,2001,NA,NA,NA
2015-120843 C,Subdivision Joint City/County,Kara Drive Bridge,Subdivision Construction Plan,Concurrent,Awaiting Update,ROW,NA,NA,06/21/2017 11:16:13 AM,10/06/2015,NA,2015,NA,NA,1
1989-000034 C8,Subdivision,BRATTON-GRAND,NA,NA,Closed,999,BRATTON-GRAND,06/14/1989,03/02/2007 06:10:13 AM,05/08/1989,NA,1989,NA,NA,NA
2010-033306 C8,Subdivision,MUELLER SECTION VII-A,Final Plat,With Preliminary,Subdivision Recorded,MF,NA,08/09/2010,08/09/2010 07:54:51 AM,04/20/2010,08/09/2010,2010,78723,1,2.627
2012-104521 C8,Subdivision,Springs of Walnut Creek; The Phase IV,Final Plat,With Preliminary,Subdivision Recorded,Condominium residences,NA,07/11/2013,07/11/2013 08:40:04 AM,10/16/2012,07/11/2013,2012,78753,1,46
2008-043689 C,Subdivision Joint City/County,McCormick Ranch on Lake Austin,Final Plat,With Preliminary,Withdrawn,"Single Family, GRBLT, ROW, Amenity, Cemetary",NA,NA,10/08/2009 09:51:55 AM,06/06/2008,NA,2008,78732,1,106
1993-000060 C8,Subdivision,WESTERN OAKS II-C,NA,NA,Expired,999,WESTERN OAKS II-C,05/04/1993,03/02/2007 06:10:13 AM,04/07/1993,NA,1993,NA,NA,NA
1998-000174 C8,Subdivision,"STEINER RANCH PHASE 1, SECTION 4H",Preliminary Plan,Preliminary,Approved,"999, 999, 999","STEINER RANCH PHASE 1, SECTION 4H",11/02/1999,03/02/2007 06:10:13 AM,10/20/1998,NA,1998,NA,NA,NA
2015-018953 C8,Subdivision,Circle C Ranch Tract 8C,Final Plat,With Preliminary,Subdivision Recorded,Single Family,NA,09/23/2015,09/23/2015 03:16:58 PM,02/19/2015,09/23/2015,2015,NA,1,14
2005-000098 C8,Subdivision,TUTTLE ADDITION (A RESUB OF PORTIONS OF LOTS 7-13 BLK B RAYMOND SUBD),Final Plat,Resubdivision,Approved,SF,TUTTLE ADDITION (A RESUB OF PORTIONS OF LOTS 7-13 BLK B RAYMOND SUBD),10/24/2005,02/11/2009 11:00:25 AM,06/14/2005,NA,2005,78703,NA,3
2019-029178 C8,Subdivision,Three Hills Apartments Subdivision,Preliminary Plan,Preliminary,Approved,Commercial Multi Family,NA,12/17/2019,01/08/2020 10:18:22 AM,02/25/2019,12/17/2019,2019,78747,1,6
1995-000153 C8,Subdivision,"STRATFORD HILLS SEC I, AMENDED PLAT OF LOT 6, BLOCK A",Final Plat,Amended Plat,Approved,999,"STRATFORD HILLS SECTION I, AMENDED PLAT OF LOT 6, BLOCK A",NA,06/29/2009 02:41:41 PM,07/20/1995,NA,1995,78746,NA,1
1992-000075 C8,Subdivision,"THREE POINT ACRES, ETC. AMENDED PLAT (SEE NOTES TAB)",NA,NA,Approved,999,"THREE POINT ACRES, ETC. AMENDED PLAT (SEE NOTES TAB)",05/15/1992,03/02/2007 06:10:13 AM,04/29/1992,NA,1992,NA,NA,2
